Treatment,Author,N,Median_Age,Age_ge_65_pct,Male_pct,ECOG_ge_1_pct,Never_Smoker_pct,Brain_Mets_pct,Endpoint
Vebreltinib (Targeted),Jin-Ji Yang2024,35,71,NA,51.4,85.7,64.7,NA,PFS1
Vebreltinib (Targeted),Jin-Ji Yang2024,17,70,NA,64.7,100,58.8,NA,PFS2
Vebreltinib (Targeted),Jin-Ji Yang2024,35,71,NA,51.4,85.7,64.7,NA,OS1
Vebreltinib (Targeted),Jin-Ji Yang2024,17,70,NA,64.7,100,58.8,NA,OS2
Gumarontinib (Targeted),Shun Lu2025,44,NA,70.5,52.3,93.2,61.4,15.9,PFS1
Gumarontinib (Targeted),Shun Lu2025,35,NA,51.5,62.9,97.1,51.4,17.1,PFS2
Gumarontinib (Targeted),Shun Lu2025,44,NA,70.5,52.3,93.2,61.4,15.9,OS1
Gumarontinib (Targeted),Shun Lu2025,35,NA,51.5,62.9,97.1,51.4,17.1,OS2
Tepotinib (Targeted),Julien Mazieres2023,164,74,NA,50.6,72.6,45.7,17.1,PFS1
Tepotinib (Targeted),Julien Mazieres2023,149,70.8,NA,47.7,75.8,53,19.5,PFS2
Tepotinib (Targeted),Julien Mazieres2023,164,74,NA,50.6,72.6,45.7,17.1,OS1
Tepotinib (Targeted),Julien Mazieres2023,149,70.8,NA,47.7,75.8,53,19.5,OS2
Capmatinib (Targeted),Jürgen Wolf2024,60,72.9,90,32,77,63,15,PFS1
Capmatinib (Targeted),Jürgen Wolf2024,100,70.4,82,44,74,59,17,PFS2
Capmatinib (Targeted),Jürgen Wolf2024,60,72.9,90,32,77,63,15,OS1
Capmatinib (Targeted),Jürgen Wolf2024,100,70.4,82,44,74,59,17,OS2
Savolitinib (Targeted),Yongfeng Yu2026,87,70,78.2,59,82,62,11.5,PFS1
Savolitinib (Targeted),Yongfeng Yu2026,79,68.8,60.8,57,87,59,27,PFS2
Savolitinib (Targeted),Yongfeng Yu2026,87,70,78.2,59,82,62,11.5,OS1
Savolitinib (Targeted),Yongfeng Yu2026,79,68.8,60.8,57,87,59,27,OS2
IMpower132 (1L_Chemo_Control),Makoto Nishio2020,286,63,41.3,67.1,59.9,10.5,NA,PFS1
IMpower132 (1L_Chemo_Control),Makoto Nishio2020,286,63,41.3,67.1,59.9,10.5,NA,OS1
KEYNOTE-189 (1L_Chemo_Control),MarinaC.Garassino2022,206,63.5,NA,52.9,61.2,12.1,17,PFS1
KEYNOTE-189 (1L_Chemo_Control),MarinaC.Garassino2022,206,63.5,NA,52.9,61.2,12.1,17,OS1
CheckMate 057 (2L_Salvage_Control),Hossein Borghaei2020,290,64,46.6,57.9,66.6,20.7,11.7,PFS2
CheckMate 057 (2L_Salvage_Control),Hossein Borghaei2020,290,64,46.6,57.9,66.6,20.7,11.7,OS2
REVEL (2L_Salvage_Control),Luis G. Paz-Ares2017,447,61,32,62,68.5,25.5,NA,OS2
KEYNOTE-024 (1L_IO_Control),Martin Reck2021,154,64.5,NA,59.7,64.3,3.2,11.7,PFS1
KEYNOTE-024 (1L_IO_Control),Martin Reck2021,154,64.5,NA,59.7,64.3,3.2,11.7,OS1
